Date Time,Pressure,Temp A,Temp B,Temp C,Conductivity
08/16/2021,11:08:16,1022.80,20.87,19.94,20.19,
08/16/2021,11:08:17,1022.60,20.81,20.00,20.19,3997
08/16/2021,11:08:18,1022.30,20.81,19.94,20.25,3999
08/16/2021,11:08:19,1022.50,20.81,19.94,20.19,4002
08/16/2021,11:08:20,1022.50,20.87,19.94,20.25,4010
08/16/2021,11:08:21,1022.50,20.87,20.00,20.19,4006
08/16/2021,11:08:22,1022.60,20.87,20.00,20.25,4008
08/16/2021,11:08:23,1022.50,20.81,19.94,20.25,4009
08/16/2021,11:08:24,1022.40,20.87,20.00,20.31,4010
08/16/2021,11:08:25,1022.60,20.87,20.00,20.25,4010
08/16/2021,11:08:26,1022.60,20.94,20.00,20.31,4011
08/16/2021,11:08:27,1022.80,20.94,20.06,20.31,4013
08/16/2021,11:08:28,1022.60,20.94,20.00,20.31,4013
08/16/2021,11:08:29,1022.70,20.94,20.06,20.37,4014
08/16/2021,11:08:30,1022.50,20.94,20.00,20.31,4015
08/16/2021,11:08:31,1022.30,20.94,20.06,20.31,4018
08/16/2021,11:08:32,1022.60,21.00,20.06,20.31,4019
08/16/2021,11:08:33,1022.80,20.94,20.06,20.37,4020
08/16/2021,11:08:34,1022.60,20.94,20.06,20.31,4020
08/16/2021,11:08:35,1022.50,20.94,20.06,20.37,4020
08/16/2021,11:08:36,1022.40,20.94,20.00,20.31,4020
08/16/2021,11:08:37,1022.70,20.94,20.06,20.37,4023
08/16/2021,11:08:38,1022.70,21.00,20.06,20.37,4023
08/16/2021,11:08:39,1022.40,21.00,20.06,20.37,4023
08/16/2021,11:08:40,1022.60,20.94,20.06,20.31,4024
08/16/2021,11:08:41,1022.70,20.94,20.06,20.31,4023
08/16/2021,11:08:42,1022.70,20.94,20.00,20.31,4024
08/16/2021,11:08:43,1022.50,20.94,20.00,20.31,4025
08/16/2021,11:08:44,1022.80,20.94,20.00,20.31,4014
08/16/2021,11:08:44,1022.80,21.00,20.06,20.31,4022
08/16/2021,11:08:45,1022.70,20.94,20.00,20.37,4029
08/16/2021,11:08:46,1022.90,20.94,20.06,20.31,4031
08/16/2021,11:08:47,1022.70,20.94,20.00,20.31,4033
08/16/2021,11:08:48,1022.70,20.94,20.00,20.31,4032
08/16/2021,11:08:49,1022.70,20.94,20.00,20.31,4034
08/16/2021,11:08:50,1022.70,20.94,20.00,20.37,4036
08/16/2021,11:08:51,1022.70,20.87,20.00,20.31,4037
08/16/2021,11:08:52,1022.60,20.94,20.00,20.31,4036
08/16/2021,11:08:53,1022.70,20.94,20.00,20.31,4038
08/16/2021,11:08:54,1022.50,20.94,20.00,20.31,4039
08/16/2021,11:08:55,1022.70,20.94,20.00,20.31,4040
08/16/2021,11:08:56,1022.30,20.94,20.00,20.31,4040
08/16/2021,11:08:57,1022.50,20.94,20.00,20.31,4041
08/16/2021,11:08:58,1022.80,20.94,20.06,20.31,4042
08/16/2021,11:08:59,1022.60,20.94,20.00,20.31,4042
08/16/2021,11:09:00,1022.60,20.94,20.06,20.31,4042
08/16/2021,11:09:01,1022.60,20.94,20.06,20.31,4042
08/16/2021,11:09:02,1022.60,20.94,20.06,20.31,4042
08/16/2021,11:09:03,1022.60,20.94,20.06,20.31,4043
08/16/2021,11:09:04,1022.70,20.94,20.06,20.31,4044
08/16/2021,11:09:05,1022.40,20.94,20.06,20.37,4045
08/16/2021,11:09:06,1022.70,20.94,20.00,20.31,4045
08/16/2021,11:09:07,1022.70,20.94,20.00,20.31,4046
08/16/2021,11:09:08,1022.80,20.94,20.06,20.31,4047
08/16/2021,11:09:09,1022.60,20.94,20.00,20.37,4048
08/16/2021,11:09:10,1022.80,20.94,20.06,20.31,4048
08/16/2021,11:09:11,1022.80,20.94,20.06,20.31,4048
08/16/2021,11:09:12,1022.80,20.94,20.00,20.37,4050
08/16/2021,11:09:13,1022.70,20.94,20.06,20.37,4050
08/16/2021,11:09:14,1022.40,20.94,20.06,20.37,4052
08/16/2021,11:09:15,1022.50,20.94,20.06,20.37,4052
08/16/2021,11:09:16,1022.50,21.00,20.06,20.31,4052
08/16/2021,11:09:17,1022.70,21.00,20.06,20.31,4053
08/16/2021,11:09:18,1022.70,21.00,20.06,20.37,4053
08/16/2021,11:09:19,1022.50,20.94,20.06,20.37,4053
08/16/2021,11:09:20,1022.50,21.00,20.06,20.37,4053
08/16/2021,11:09:21,1022.60,21.00,20.00,20.37,4054
08/16/2021,11:09:22,1022.50,20.94,20.06,20.37,4054
08/16/2021,11:09:23,1022.90,20.94,20.06,20.31,4057
08/16/2021,11:09:24,1022.50,20.94,20.06,20.37,4056
08/16/2021,11:09:25,1022.60,20.94,20.06,20.31,4056
08/16/2021,11:09:26,1022.60,20.94,20.06,20.31,4056
08/16/2021,11:09:27,1022.60,20.94,20.06,20.37,4057
08/16/2021,11:09:28,1022.70,20.94,20.06,20.37,4057
08/16/2021,11:09:29,1022.60,20.94,20.06,20.37,4058
08/16/2021,11:09:30,1022.60,21.00,20.06,20.37,4059
08/16/2021,11:09:31,1022.60,20.94,20.06,20.37,4060
08/16/2021,11:09:31,1022.80,20.94,20.06,20.37,4061
08/16/2021,11:09:32,1022.80,20.94,20.06,20.37,4061
08/16/2021,11:09:33,1022.60,20.94,20.06,20.37,4060
08/16/2021,11:09:34,1022.70,20.94,20.06,20.37,4061
08/16/2021,11:09:35,1022.70,20.94,20.06,20.37,4062
08/16/2021,11:09:36,1022.70,21.00,20.06,20.37,4062
08/16/2021,11:09:37,1022.50,20.94,20.06,20.37,4063
08/16/2021,11:09:38,1022.80,20.94,20.06,20.37,4064
08/16/2021,11:09:39,1022.70,20.94,20.06,20.37,4063
08/16/2021,11:09:40,1022.60,20.94,20.06,20.37,4064
08/16/2021,11:09:41,1022.80,21.00,20.06,20.37,4064
08/16/2021,11:09:42,1022.70,20.94,20.06,20.37,4065
08/16/2021,11:09:43,1022.70,20.94,20.06,20.37,4066
08/16/2021,11:09:44,1022.50,20.94,20.06,20.37,4066
08/16/2021,11:09:45,1022.70,21.00,20.06,20.37,4066
08/16/2021,11:09:46,1022.80,20.94,20.06,20.37,4067
08/16/2021,11:09:47,1022.70,20.94,20.06,20.37,4068
08/16/2021,11:09:48,1022.70,20.94,20.06,20.44,4068
08/16/2021,11:09:49,1022.70,20.94,20.06,20.37,4068
08/16/2021,11:09:50,1022.50,20.94,20.06,20.44,4069
08/16/2021,11:09:51,1022.70,20.94,20.06,20.44,4069
08/16/2021,11:09:52,1022.50,20.94,20.06,20.44,4069
08/16/2021,11:09:53,1022.60,20.94,20.06,20.37,4069
08/16/2021,11:09:54,1022.40,20.94,20.06,20.44,4069
08/16/2021,11:09:55,1022.60,20.94,20.06,20.44,4070
08/16/2021,11:09:56,1022.40,20.94,20.06,20.44,4070
08/16/2021,11:09:57,1022.70,20.94,20.06,20.44,4070
08/16/2021,11:09:58,1022.50,20.94,20.06,20.37,4064
08/16/2021,11:09:59,1022.80,20.94,20.06,20.44,4063
08/16/2021,11:10:00,1022.60,20.94,20.06,20.37,4067
08/16/2021,11:10:01,1022.50,20.94,20.06,20.37,4068
08/16/2021,11:10:02,1022.80,20.94,20.06,20.44,4070
08/16/2021,11:10:03,1022.80,20.94,20.06,20.37,4071
08/16/2021,11:10:04,1022.90,20.94,20.06,20.44,4071
08/16/2021,11:10:05,1022.70,20.94,20.06,20.37,4071
08/16/2021,11:10:06,1023.00,20.87,20.06,20.37,4070
08/16/2021,11:10:07,1022.60,20.94,20.06,20.37,4072
08/16/2021,11:10:08,1022.80,20.94,20.06,20.37,4072
08/16/2021,11:10:09,1022.60,20.94,20.06,20.37,4072
08/16/2021,11:10:10,1022.50,20.94,20.06,20.37,4072
08/16/2021,11:10:11,1022.60,20.94,20.06,20.37,4073
08/16/2021,11:10:12,1023.00,20.94,20.00,20.37,4074
08/16/2021,11:10:13,1022.50,20.94,20.00,20.37,4074
08/16/2021,11:10:14,1022.50,20.94,20.00,20.37,4074
08/16/2021,11:10:15,1022.50,20.94,20.06,20.37,4074
08/16/2021,11:10:16,1022.50,20.94,20.06,20.44,4075
08/16/2021,11:10:17,1022.40,20.94,20.06,20.37,4075
08/16/2021,11:10:18,1022.70,20.94,20.06,20.44,4075
08/16/2021,11:10:18,1022.70,21.00,20.06,20.44,4076
08/16/2021,11:10:19,1022.60,21.00,20.06,20.37,4076
08/16/2021,11:10:20,1022.60,21.00,20.06,20.37,4076
08/16/2021,11:10:21,1022.30,21.00,20.06,20.37,4076
08/16/2021,11:10:22,1022.60,21.00,20.06,20.37,4077
08/16/2021,11:10:23,1022.60,21.00,20.06,20.44,4077
08/16/2021,11:10:24,1022.40,21.00,20.06,20.44,4079
08/16/2021,11:10:25,1022.50,21.00,20.06,20.44,4080
08/16/2021,11:10:26,1022.80,21.00,20.06,20.44,4080
08/16/2021,11:10:27,1022.70,21.00,20.06,20.44,4080
08/16/2021,11:10:28,1022.40,21.00,20.06,20.44,4079
08/16/2021,11:10:29,1022.70,21.00,20.06,20.44,4080
08/16/2021,11:10:30,1022.60,21.00,20.06,20.44,4080
08/16/2021,11:10:31,1022.60,21.00,20.06,20.44,4080
08/16/2021,11:10:32,1022.60,21.00,20.06,20.37,4080
08/16/2021,11:10:33,1022.50,21.00,20.06,20.44,4080
08/16/2021,11:10:34,1022.70,21.00,20.06,20.44,4080
08/16/2021,11:10:35,1022.70,21.00,20.06,20.44,4082
08/16/2021,11:10:36,1022.80,21.00,20.06,20.44,4082
08/16/2021,11:10:37,1022.80,21.00,20.06,20.44,4082
08/16/2021,11:10:38,1022.60,21.00,20.06,20.44,4082
08/16/2021,11:10:39,1022.60,21.00,20.06,20.44,4082
08/16/2021,11:10:40,1022.50,21.00,20.06,20.44,4083
08/16/2021,11:10:41,1022.40,21.00,20.12,20.44,4083
08/16/2021,11:10:42,1022.40,21.00,20.06,20.44,4084
08/16/2021,11:10:43,1022.70,21.00,20.06,20.44,4084
08/16/2021,11:10:44,1022.70,20.94,20.06,20.44,4084
08/16/2021,11:10:45,1022.70,21.00,20.06,20.44,4085
08/16/2021,11:10:46,1022.70,21.00,20.06,20.44,4085
08/16/2021,11:10:47,1022.80,21.00,20.06,20.50,4083
08/16/2021,11:10:48,1022.40,21.00,20.06,20.44,4083
08/16/2021,11:10:49,1022.70,21.00,20.06,20.44,4085
08/16/2021,11:10:50,1022.70,21.00,20.06,20.44,4086
08/16/2021,11:10:51,1022.70,21.00,20.06,20.44,4087
08/16/2021,11:10:52,1022.80,21.00,20.06,20.44,4088
08/16/2021,11:10:53,1022.60,21.00,20.00,20.44,4088
08/16/2021,11:10:54,1022.60,21.00,20.06,20.44,4088
08/16/2021,11:10:55,1022.40,21.00,20.06,20.44,4088
08/16/2021,11:10:56,1022.60,21.00,20.06,20.44,4088
08/16/2021,11:10:57,1022.70,21.00,20.12,20.44,4089
08/16/2021,11:10:58,1022.80,21.00,20.06,20.44,4089
08/16/2021,11:10:59,1022.70,21.00,20.12,20.44,4088
08/16/2021,11:11:00,1022.70,21.00,20.12,20.44,4088
08/16/2021,11:11:01,1022.60,21.00,20.06,20.44,4089
08/16/2021,11:11:02,1022.70,21.00,20.12,20.44,4089
08/16/2021,11:11:03,1022.60,21.00,20.12,20.44,4090
08/16/2021,11:11:04,1022.70,21.00,20.12,20.44,4089
08/16/2021,11:11:05,1022.90,21.00,20.12,20.44,4090
08/16/2021,11:11:05,1022.70,21.00,20.06,20.44,4091
08/16/2021,11:11:06,1022.80,21.00,20.12,20.44,4091
08/16/2021,11:11:07,1022.50,21.00,20.12,20.44,4093
08/16/2021,11:11:08,1022.70,21.00,20.12,20.44,4093
08/16/2021,11:11:09,1022.60,21.06,20.12,20.44,4092
08/16/2021,11:11:10,1022.80,21.06,20.12,20.44,4092
08/16/2021,11:11:11,1022.60,21.00,20.12,20.44,4092
08/16/2021,11:11:12,1022.50,21.06,20.12,20.44,4092
08/16/2021,11:11:13,1022.60,21.00,20.12,20.44,4092
08/16/2021,11:11:14,1022.40,21.00,20.12,20.50,4093
08/16/2021,11:11:15,1022.60,21.06,20.12,20.50,4094
08/16/2021,11:11:16,1022.60,21.06,20.12,20.50,4094
08/16/2021,11:11:17,1022.70,21.06,20.12,20.50,4095
08/16/2021,11:11:18,1022.50,21.00,20.12,20.50,4095
08/16/2021,11:11:19,1022.60,21.06,20.12,20.50,4094
08/16/2021,11:11:20,1022.80,21.00,20.12,20.50,4051
08/16/2021,11:11:21,1022.70,21.06,20.12,20.50,3375
08/16/2021,11:11:22,1022.80,21.06,20.12,20.50,3800
08/16/2021,11:11:23,1023.00,21.06,20.12,20.50,3802
08/16/2021,11:11:24,1022.70,21.00,20.12,20.50,3799
08/16/2021,11:11:25,1022.90,21.00,20.12,20.50,3802
08/16/2021,11:11:26,1022.80,21.00,20.12,20.50,3798
08/16/2021,11:11:27,1022.80,21.00,20.12,20.50,3790
08/16/2021,11:11:28,1022.80,21.00,20.06,20.50,3787
08/16/2021,11:11:29,1022.70,21.00,20.12,20.50,3781
08/16/2021,11:11:30,1022.70,21.00,20.12,20.50,3769
08/16/2021,11:11:31,1022.80,21.00,20.06,20.56,3727
08/16/2021,11:11:32,1022.60,21.00,20.12,20.50,3634
08/16/2021,11:11:33,1022.70,21.00,20.12,20.50,3673
08/16/2021,11:11:34,1022.60,21.00,20.12,20.56,3752
08/16/2021,11:11:35,1022.70,21.00,20.12,20.50,3752
08/16/2021,11:11:36,1022.70,21.00,20.12,20.56,3754
08/16/2021,11:11:37,1022.90,21.00,20.12,20.56,3755
08/16/2021,11:11:38,1022.90,21.00,20.12,20.56,3755
08/16/2021,11:11:39,1022.60,21.00,20.12,20.50,3750
08/16/2021,11:11:40,1022.80,21.00,20.12,20.56,3753
08/16/2021,11:11:41,1022.70,21.00,20.12,20.56,3753
08/16/2021,11:11:42,1022.70,21.00,20.12,20.56,3753
08/16/2021,11:11:43,1022.80,21.00,20.12,20.56,3655
08/16/2021,11:11:44,1022.70,21.00,20.12,20.56,3416
08/16/2021,11:11:45,1022.80,21.00,20.12,20.62,3233
08/16/2021,11:11:46,1022.90,21.00,20.12,20.56,3217
08/16/2021,11:11:47,1022.80,21.00,20.19,20.62,3260
08/16/2021,11:11:48,1022.80,21.00,20.12,20.56,3680
08/16/2021,11:11:49,1022.70,21.00,20.12,20.56,3719
08/16/2021,11:11:50,1022.60,21.00,20.12,20.56,3778
08/16/2021,11:11:51,1022.80,21.00,20.12,20.62,3760
08/16/2021,11:11:52,1022.80,21.00,20.12,20.62,3738
08/16/2021,11:11:53,1022.90,21.00,20.12,20.62,3756
08/16/2021,11:11:53,1022.70,21.06,20.12,20.62,3755
08/16/2021,11:11:54,1022.70,21.00,20.12,20.62,3755
08/16/2021,11:11:55,1023.10,21.00,20.12,20.62,3754
08/16/2021,11:11:56,1022.80,21.00,20.12,20.62,3754
08/16/2021,11:11:57,1022.80,21.00,20.12,20.62,3755
08/16/2021,11:11:58,1022.80,21.00,20.12,20.62,3756
08/16/2021,11:11:59,1022.50,21.00,20.12,20.62,3756
08/16/2021,11:12:00,1022.60,21.00,20.12,20.62,3756
08/16/2021,11:12:01,1022.80,21.00,20.12,20.62,3755
08/16/2021,11:12:02,1022.70,21.00,20.12,20.62,3754
08/16/2021,11:12:03,1022.60,21.00,20.12,20.62,3605
08/16/2021,11:12:04,1022.60,21.00,20.12,20.69,3688
08/16/2021,11:12:05,1022.80,21.00,20.06,20.62,3689
08/16/2021,11:12:06,1022.90,21.00,20.06,20.69,3696
08/16/2021,11:12:07,1022.50,21.00,20.12,20.62,3699
08/16/2021,11:12:08,1022.60,21.00,20.12,20.62,3697
08/16/2021,11:12:09,1022.70,21.00,20.12,20.62,3620
08/16/2021,11:12:10,1022.70,21.00,20.12,20.62,3565
08/16/2021,11:12:11,1022.80,21.00,20.12,20.62,3500
08/16/2021,11:12:12,1022.70,21.00,20.12,20.69,3494
08/16/2021,11:12:13,1022.80,21.00,20.06,20.69,3484
08/16/2021,11:12:14,1022.70,21.00,20.12,20.69,3491
08/16/2021,11:12:15,1022.70,21.00,20.12,20.69,3492
08/16/2021,11:12:16,1022.40,21.00,20.12,20.69,3492
08/16/2021,11:12:17,1022.70,21.00,20.12,20.62,3496
08/16/2021,11:12:18,1022.80,21.06,20.06,20.62,3504
08/16/2021,11:12:19,1022.80,21.06,20.06,20.69,3506
08/16/2021,11:12:20,1022.80,21.00,20.06,20.69,3543
08/16/2021,11:12:21,1022.80,21.00,20.12,20.69,3649
08/16/2021,11:12:22,1022.60,21.00,20.06,20.62,3643
08/16/2021,11:12:23,1022.90,21.00,20.12,20.62,3645
08/16/2021,11:12:24,1022.80,21.06,20.06,20.62,3645
08/16/2021,11:12:25,1022.60,21.00,20.06,20.62,3659
08/16/2021,11:12:26,1022.60,21.00,20.06,20.62,3670
08/16/2021,11:12:27,1022.70,21.06,20.06,20.62,3667
08/16/2021,11:12:28,1022.80,21.00,20.12,20.56,3662
08/16/2021,11:12:29,1022.80,21.00,20.12,20.56,3669
08/16/2021,11:12:30,1022.70,21.00,20.12,20.56,3669
08/16/2021,11:12:31,1022.70,21.00,20.12,20.56,3670
08/16/2021,11:12:32,1022.60,21.00,20.12,20.62,3672
08/16/2021,11:12:33,1022.90,21.00,20.12,20.62,3672
08/16/2021,11:12:34,1022.70,21.00,20.12,20.62,3671
08/16/2021,11:12:35,1022.60,21.06,20.12,20.62,3671
08/16/2021,11:12:36,1022.70,21.06,20.19,20.62,3675
08/16/2021,11:12:37,1022.70,21.06,20.19,20.62,3672
08/16/2021,11:12:38,1022.70,21.06,20.19,20.62,3672
08/16/2021,11:12:39,1022.80,21.06,20.19,20.62,3675
08/16/2021,11:12:40,1022.70,21.06,20.19,20.62,3675
08/16/2021,11:12:40,1022.90,21.06,20.19,20.62,3673
08/16/2021,11:12:41,1022.80,21.06,20.19,20.62,3675
08/16/2021,11:12:42,1022.80,21.12,20.25,20.62,3675
08/16/2021,11:12:43,1022.70,21.06,20.25,20.62,3677
08/16/2021,11:12:44,1022.70,21.06,20.25,20.69,3676
08/16/2021,11:12:45,1022.60,21.12,20.25,20.69,3674
08/16/2021,11:12:46,1022.80,21.12,20.25,20.62,3674
08/16/2021,11:12:47,1022.70,21.12,20.25,20.69,3675
08/16/2021,11:12:48,1022.60,21.12,20.25,20.69,3676
08/16/2021,11:12:49,1022.70,21.12,20.25,20.69,3672
08/16/2021,11:12:50,1022.60,21.12,20.25,20.69,3677
08/16/2021,11:12:51,1022.60,21.12,20.25,20.69,3673
08/16/2021,11:12:52,1022.80,21.12,20.25,20.69,3668
08/16/2021,11:12:53,1022.80,21.12,20.31,20.69,3665
08/16/2021,11:12:54,1022.80,21.12,20.25,20.69,3663
08/16/2021,11:12:55,1022.80,21.19,20.31,20.69,3664
08/16/2021,11:12:56,1022.80,21.12,20.31,20.69,3666
08/16/2021,11:12:57,1022.60,21.12,20.31,20.69,3666
08/16/2021,11:12:58,1022.90,21.12,20.31,20.69,3666
08/16/2021,11:12:59,1022.70,21.19,20.31,20.69,3666
08/16/2021,11:13:00,1022.60,21.12,20.31,20.75,3668
08/16/2021,11:13:01,1022.80,21.12,20.31,20.75,3668
08/16/2021,11:13:02,1022.60,21.12,20.31,20.69,3668
08/16/2021,11:13:03,1022.70,21.19,20.31,20.75,3669
08/16/2021,11:13:04,1022.80,21.19,20.31,20.69,3668
08/16/2021,11:13:05,1023.00,21.12,20.31,20.75,3665
08/16/2021,11:13:06,1022.60,21.19,20.31,20.69,3659
08/16/2021,11:13:07,1022.70,21.19,20.31,20.69,3702
08/16/2021,11:13:08,1022.80,21.19,20.44,20.69,3759
08/16/2021,11:13:09,1022.80,21.19,20.50,20.69,3796
08/16/2021,11:13:10,1023.00,21.12,20.56,20.69,2928
08/16/2021,11:13:11,1022.70,21.19,20.62,20.69,2895
08/16/2021,11:13:12,1022.90,21.12,20.62,20.69,2902
08/16/2021,11:13:13,1023.10,21.12,20.56,20.69,2905
08/16/2021,11:13:14,1022.80,21.19,20.56,20.69,2908
08/16/2021,11:13:15,1022.80,21.19,20.56,20.69,2911
08/16/2021,11:13:16,1022.80,21.19,20.56,20.69,2913
08/16/2021,11:13:17,1022.90,21.12,20.50,20.69,2914
08/16/2021,11:13:18,1022.60,21.12,20.50,20.69,2660
08/16/2021,11:13:19,1022.70,21.12,20.50,20.69,2680
08/16/2021,11:13:20,1022.80,21.12,20.50,20.62,2677
08/16/2021,11:13:21,1022.80,21.12,20.50,20.69,2681
08/16/2021,11:13:22,1023.00,21.12,20.50,20.69,2686
08/16/2021,11:13:23,1022.80,21.12,20.50,20.69,2690
08/16/2021,11:13:24,1022.70,21.12,20.50,20.62,2691
08/16/2021,11:13:25,1022.80,21.12,20.50,20.69,2694
08/16/2021,11:13:26,1023.00,21.12,20.44,20.62,2696
08/16/2021,11:13:27,1022.80,21.12,20.50,20.69,2699
08/16/2021,11:13:28,1022.60,21.12,20.44,20.62,2701
08/16/2021,11:13:28,1022.80,21.19,20.44,20.62,2702
08/16/2021,11:13:29,1022.80,21.19,20.44,20.62,2704
08/16/2021,11:13:30,1022.80,21.12,20.44,20.69,2707
08/16/2021,11:13:31,1022.90,21.19,20.44,20.69,2707
08/16/2021,11:13:32,1022.80,21.12,20.44,20.62,2709
08/16/2021,11:13:33,1022.90,21.19,20.44,20.62,2712
08/16/2021,11:13:34,1022.80,21.19,20.44,20.62,2713
08/16/2021,11:13:35,1022.70,21.12,20.44,20.69,2715
08/16/2021,11:13:36,1022.80,21.19,20.44,20.62,2716
08/16/2021,11:13:37,1022.80,21.19,20.44,20.62,2718
08/16/2021,11:13:38,1022.80,21.12,20.44,20.62,2720
08/16/2021,11:13:39,1022.90,21.19,20.44,20.62,2720
08/16/2021,11:13:40,1022.80,21.12,20.44,20.62,2723
08/16/2021,11:13:41,1022.80,21.19,20.50,20.62,2723
08/16/2021,11:13:42,1022.60,21.12,20.50,20.62,2725
08/16/2021,11:13:43,1023.00,21.19,20.44,20.62,2726
08/16/2021,11:13:44,1022.90,21.19,20.44,20.62,2726
08/16/2021,11:13:45,1022.80,21.19,20.44,20.62,2728
08/16/2021,11:13:46,1022.80,21.19,20.44,20.62,2731
08/16/2021,11:13:47,1022.70,21.19,20.44,20.62,2730
08/16/2021,11:13:48,1022.70,21.19,20.44,20.62,2731
08/16/2021,11:13:49,1022.80,21.19,20.44,20.62,2733
08/16/2021,11:13:50,1023.00,21.19,20.44,20.62,2733
08/16/2021,11:13:51,1022.80,21.19,20.44,20.62,2734
08/16/2021,11:13:52,1022.60,21.19,20.44,20.62,2736
08/16/2021,11:13:53,1023.00,21.19,20.44,20.62,2737
08/16/2021,11:13:54,1022.90,21.25,20.44,20.62,2738
08/16/2021,11:13:55,1022.80,21.19,20.44,20.62,2739
08/16/2021,11:13:56,1022.70,21.19,20.44,20.62,2741
08/16/2021,11:13:57,1022.70,21.19,20.44,20.62,2743
08/16/2021,11:13:58,1022.80,21.12,20.44,20.62,2694
08/16/2021,11:13:59,1022.80,21.19,20.44,20.62,2740
08/16/2021,11:14:00,1022.70,21.19,20.44,20.62,2742
08/16/2021,11:14:01,1023.00,21.19,20.44,20.62,2736
08/16/2021,11:14:02,1022.90,21.19,20.44,20.62,2665
08/16/2021,11:14:03,1023.00,21.19,20.44,20.62,2693
08/16/2021,11:14:04,1022.80,21.19,20.44,20.62,2727
08/16/2021,11:14:05,1022.80,21.19,20.44,20.62,2728
08/16/2021,11:14:06,1022.90,21.19,20.50,20.62,2728
08/16/2021,11:14:07,1022.70,21.19,20.44,20.69,2730
08/16/2021,11:14:08,1023.00,21.19,20.44,20.62,2731
08/16/2021,11:14:09,1022.60,21.19,20.44,20.62,2732
08/16/2021,11:14:10,1022.80,21.19,20.44,20.69,2733
08/16/2021,11:14:11,1022.80,21.19,20.44,20.69,2734
08/16/2021,11:14:12,1022.90,21.19,20.50,20.62,2734
08/16/2021,11:14:13,1022.60,21.19,20.44,20.62,2735
08/16/2021,11:14:14,1022.70,21.19,20.44,20.62,2736
08/16/2021,11:14:15,1022.70,21.19,20.44,20.62,2737
08/16/2021,11:14:15,1022.90,21.19,20.44,20.62,2738
08/16/2021,11:14:16,1022.80,21.19,20.44,20.56,2739
08/16/2021,11:14:17,1022.70,21.19,20.44,20.62,2740
08/16/2021,11:14:18,1022.80,21.25,20.44,20.62,2742
08/16/2021,11:14:19,1022.70,21.19,20.44,20.62,2742
08/16/2021,11:14:20,1022.70,21.19,20.37,20.62,2742
08/16/2021,11:14:21,1022.90,21.19,20.44,20.62,2744
08/16/2021,11:14:22,1022.90,21.19,20.44,20.62,2744
08/16/2021,11:14:23,1022.80,21.19,20.44,20.62,2745
08/16/2021,11:14:24,1022.80,21.19,20.44,20.62,2746
08/16/2021,11:14:25,1022.80,21.19,20.44,20.62,2746
08/16/2021,11:14:26,1022.60,21.19,20.37,20.62,2747
08/16/2021,11:14:27,1022.60,21.19,20.44,20.62,2749
08/16/2021,11:14:28,1022.80,21.19,20.44,20.62,2750
08/16/2021,11:14:29,1022.80,21.25,20.44,20.62,2750
08/16/2021,11:14:30,1022.90,21.19,20.44,20.62,2752
08/16/2021,11:14:31,1022.90,21.19,20.44,20.62,2752
08/16/2021,11:14:32,1022.70,21.19,20.44,20.62,2753
08/16/2021,11:14:33,1022.70,21.19,20.44,20.62,2754
08/16/2021,11:14:34,1022.60,21.25,20.44,20.62,2755
08/16/2021,11:14:35,1022.70,21.19,20.44,20.62,2756
08/16/2021,11:14:36,1022.80,21.19,20.44,20.62,2755
08/16/2021,11:14:37,1022.90,21.25,20.44,20.62,2756
08/16/2021,11:14:38,1022.90,21.19,20.44,20.62,2756
08/16/2021,11:14:39,1022.70,21.19,20.44,20.62,2758
08/16/2021,11:14:40,1023.20,21.25,20.50,20.62,2759
08/16/2021,11:14:41,1022.70,21.19,20.50,20.62,2760
08/16/2021,11:14:42,1022.70,21.19,20.50,20.62,2760
08/16/2021,11:14:43,1022.70,21.19,20.50,20.62,2760
08/16/2021,11:14:44,1022.80,21.19,20.50,20.62,2762
08/16/2021,11:14:45,1022.60,21.19,20.50,20.62,2763
08/16/2021,11:14:46,1022.80,21.19,20.50,20.62,2763
08/16/2021,11:14:47,1023.00,21.19,20.50,20.62,2765
08/16/2021,11:14:48,1022.80,21.19,20.50,20.62,2765
08/16/2021,11:14:49,1022.60,21.25,20.50,20.62,2766
08/16/2021,11:14:50,1022.70,21.25,20.50,20.69,2767
08/16/2021,11:14:51,1022.90,21.19,20.50,20.62,2768
08/16/2021,11:14:52,1022.70,21.25,20.50,20.69,2769
08/16/2021,11:14:53,1022.80,21.19,20.50,20.62,2770
08/16/2021,11:14:54,1023.00,21.25,20.50,20.62,2770
08/16/2021,11:14:55,1022.90,21.25,20.50,20.62,2770
08/16/2021,11:14:56,1022.70,21.25,20.56,20.69,2772
08/16/2021,11:14:57,1022.70,21.19,20.56,20.62,2772
08/16/2021,11:14:58,1022.60,21.25,20.56,20.62,2773
08/16/2021,11:14:59,1022.80,21.25,20.56,20.69,2773
08/16/2021,11:15:00,1022.60,21.25,20.56,20.62,2773
08/16/2021,11:15:01,1022.70,21.25,20.56,20.69,2774
08/16/2021,11:15:02,1022.70,21.25,20.56,20.69,2775
08/16/2021,11:15:03,1022.80,21.25,20.56,20.69,2776
08/16/2021,11:15:03,1022.80,21.25,20.56,20.69,2777
08/16/2021,11:15:04,1022.70,21.25,20.56,20.69,2777
08/16/2021,11:15:05,1022.70,21.25,20.56,20.69,2778
08/16/2021,11:15:06,1022.80,21.25,20.56,20.69,2779
08/16/2021,11:15:07,1022.90,21.25,20.56,20.69,2779
08/16/2021,11:15:08,1022.60,21.25,20.56,20.69,2780
08/16/2021,11:15:09,1022.80,21.25,20.56,20.69,2780
